run,dropped_fold,MAE,DirAcc,VaRBreach
ablation_full_s42,none,0.033934027422219515,0.5373043478260869,0.1
ablation_full_s42,0,0.03612140566110611,0.5190144927536232,0.13333333333333333
ablation_full_s42,1,0.03415621382494768,0.5420289855072463,0.08695652173913043
ablation_full_s42,2,0.03305093881984552,0.5380289855072463,0.07246376811594203
ablation_full_s42,3,0.03240755138297876,0.5501449275362319,0.10724637681159421
ablation_full_s43,none,0.033059692941606045,0.5565217391304347,0.0891304347826087
ablation_full_s43,0,0.035199932754039764,0.5483478260869564,0.11884057971014493
ablation_full_s43,1,0.03413660079240799,0.5489275362318841,0.08695652173913043
ablation_full_s43,2,0.032003081093231835,0.5635362318840579,0.06956521739130435
ablation_full_s43,3,0.030899157126744587,0.5652753623188406,0.08115942028985508
ablation_full_s44,none,0.0331551400013268,0.5489565217391305,0.09782608695652174
ablation_full_s44,0,0.03544943096737067,0.5311304347826087,0.12173913043478261
ablation_full_s44,1,0.03420529638727506,0.5428405797101449,0.09855072463768115
ablation_full_s44,2,0.03201062045991421,0.5511884057971015,0.07536231884057971
ablation_full_s44,3,0.03095521219074726,0.5706666666666667,0.09565217391304348
ablation_full_s45,none,0.03485670778900385,0.5160434782608696,0.08695652173913043
ablation_full_s45,0,0.0359053798019886,0.5147826086956522,0.11594202898550725
ablation_full_s45,1,0.035777258376280464,0.515768115942029,0.08405797101449275
ablation_full_s45,2,0.03431722894310951,0.5073043478260869,0.06666666666666667
ablation_full_s45,3,0.03342696403463682,0.5263188405797101,0.08115942028985508
ablation_full_s46,none,0.03426844906061888,0.5102173913043478,0.1108695652173913
ablation_full_s46,0,0.03702035484214624,0.47002898550724637,0.13333333333333333
ablation_full_s46,1,0.03565431075791518,0.496231884057971,0.10144927536231885
ablation_full_s46,2,0.03176154817144076,0.5529855072463769,0.08985507246376812
ablation_full_s46,3,0.032637582470973335,0.5216231884057971,0.11884057971014493
ablation_no_macro_s42,none,0.03368322551250458,0.543608695652174,0.09999999999999999
ablation_no_macro_s42,0,0.036060888320207596,0.5271304347826087,0.13043478260869565
ablation_no_macro_s42,1,0.03406695028146108,0.5411594202898551,0.08985507246376812
ablation_no_macro_s42,2,0.032691157112518944,0.5454492753623189,0.07536231884057971
ablation_no_macro_s42,3,0.03191390633583069,0.560695652173913,0.10434782608695652
ablation_no_macro_s43,none,0.03337778663262725,0.5446086956521738,0.09999999999999999
ablation_no_macro_s43,0,0.03578000143170357,0.517623188405797,0.1246376811594203
ablation_no_macro_s43,1,0.03377947025001049,0.5512463768115942,0.08405797101449275
ablation_no_macro_s43,2,0.03242352791130543,0.5438260869565218,0.08695652173913043
ablation_no_macro_s43,3,0.03152814693748951,0.5657391304347826,0.10434782608695652
ablation_no_macro_s44,none,0.033594080712646246,0.5222173913043479,0.10217391304347827
ablation_no_macro_s44,0,0.035759828984737396,0.5108405797101448,0.13043478260869565
ablation_no_macro_s44,1,0.03428454510867596,0.5232463768115941,0.09855072463768116
ablation_no_macro_s44,2,0.032604742174347244,0.519536231884058,0.07826086956521738
ablation_no_macro_s44,3,0.03172720658282439,0.5352463768115941,0.10144927536231885
