run,horizon,MAE,null_MAE,oracle_drift_MAE,mean_pred,mean_actual,n_obs,beats_null
ablation_full_s42,1,0.014352994039654732,0.01386623177677393,0.013836405239999294,0.0013255889061838388,0.0007494936580769718,2300,False
ablation_full_s42,2,0.02093631401658058,0.020612254738807678,0.020535385236144066,0.0023901264648884535,0.00138772779610008,2300,False
ablation_full_s42,3,0.02579537406563759,0.02542862668633461,0.025290384888648987,0.003204542910680175,0.0021548259537667036,2300,False
ablation_full_s42,4,0.030030762776732445,0.029436659067869186,0.02925657480955124,0.004578742664307356,0.002847495721653104,2300,False
ablation_full_s42,5,0.033859167248010635,0.032922785729169846,0.03267541527748108,0.005811099894344807,0.0035679801367223263,2300,False
ablation_full_s42,6,0.03729330003261566,0.03617163002490997,0.0358055979013443,0.006880086846649647,0.004151492845267057,2300,False
ablation_full_s42,7,0.04043283313512802,0.039120111614465714,0.038658902049064636,0.008262327872216702,0.00470747472718358,2300,False
ablation_full_s42,8,0.04325107857584953,0.04183616489171982,0.04128556698560715,0.010024996474385262,0.005358648020774126,2300,False
ablation_full_s42,9,0.045619480311870575,0.044423654675483704,0.04373978078365326,0.011095484718680382,0.005948053207248449,2300,False
ablation_full_s42,10,0.047768961638212204,0.04693780466914177,0.04614844545722008,0.01183877233415842,0.006491753738373518,2300,False
ablation_full_s43,1,0.01420342456549406,0.01386623177677393,0.013836405239999294,0.001207355409860611,0.0007494936580769718,2300,False
ablation_full_s43,2,0.020653633400797844,0.020612254738807678,0.020535385236144066,0.002858271123841405,0.00138772779610008,2300,False
ablation_full_s43,3,0.025325436145067215,0.02542862668633461,0.025290384888648987,0.0035960073582828045,0.0021548259537667036,2300,True
ablation_full_s43,4,0.02952774055302143,0.029436659067869186,0.02925657480955124,0.005159939639270306,0.002847495721653104,2300,False
ablation_full_s43,5,0.03289208561182022,0.032922785729169846,0.03267541527748108,0.005992495454847813,0.0035679801367223263,2300,True
ablation_full_s43,6,0.03612147271633148,0.03617163002490997,0.0358055979013443,0.006777291651815176,0.004151492845267057,2300,True
ablation_full_s43,7,0.039156340062618256,0.039120111614465714,0.038658902049064636,0.00813693180680275,0.00470747472718358,2300,False
ablation_full_s43,8,0.04179275408387184,0.04183616489171982,0.04128556698560715,0.008943113498389721,0.005358648020774126,2300,True
ablation_full_s43,9,0.04429787024855614,0.044423654675483704,0.04373978078365326,0.009835083968937397,0.005948053207248449,2300,True
ablation_full_s43,10,0.04662615433335304,0.04693780466914177,0.04614844545722008,0.010235306806862354,0.006491753738373518,2300,True
ablation_full_s44,1,0.014315336011350155,0.01386623177677393,0.013836405239999294,0.002629932714626193,0.0007494936580769718,2300,False
ablation_full_s44,2,0.02080567739903927,0.020612254738807678,0.020535385236144066,0.0044499654322862625,0.00138772779610008,2300,False
ablation_full_s44,3,0.025552352890372276,0.02542862668633461,0.025290384888648987,0.005627406761050224,0.0021548259537667036,2300,False
ablation_full_s44,4,0.029641777276992798,0.029436659067869186,0.02925657480955124,0.007430242374539375,0.002847495721653104,2300,False
ablation_full_s44,5,0.033233292400836945,0.032922785729169846,0.03267541527748108,0.009140958078205585,0.0035679801367223263,2300,False
ablation_full_s44,6,0.03628980368375778,0.03617163002490997,0.0358055979013443,0.009898816235363483,0.004151492845267057,2300,False
ablation_full_s44,7,0.03919138014316559,0.039120111614465714,0.038658902049064636,0.011076069436967373,0.00470747472718358,2300,False
ablation_full_s44,8,0.04176316037774086,0.04183616489171982,0.04128556698560715,0.01252705417573452,0.005358648020774126,2300,True
ablation_full_s44,9,0.04416387155652046,0.044423654675483704,0.04373978078365326,0.013355344533920288,0.005948053207248449,2300,True
ablation_full_s44,10,0.046594757586717606,0.04693780466914177,0.04614844545722008,0.014754601754248142,0.006491753738373518,2300,True
ablation_full_s45,1,0.016286106780171394,0.01386623177677393,0.013836405239999294,-0.0006145885563455522,0.0007494936580769718,2300,False
ablation_full_s45,2,0.02243446744978428,0.020612254738807678,0.020535385236144066,0.00033079643617384136,0.00138772779610008,2300,False
ablation_full_s45,3,0.027082359418272972,0.02542862668633461,0.025290384888648987,0.0013729209313169122,0.0021548259537667036,2300,False
ablation_full_s45,4,0.03129972517490387,0.029436659067869186,0.02925657480955124,0.0027436877135187387,0.002847495721653104,2300,False
ablation_full_s45,5,0.03462343290448189,0.032922785729169846,0.03267541527748108,0.003883569035679102,0.0035679801367223263,2300,False
ablation_full_s45,6,0.037903375923633575,0.03617163002490997,0.0358055979013443,0.004693324211984873,0.004151492845267057,2300,False
ablation_full_s45,7,0.04090643674135208,0.039120111614465714,0.038658902049064636,0.005622192285954952,0.00470747472718358,2300,False
ablation_full_s45,8,0.04358157515525818,0.04183616489171982,0.04128556698560715,0.006847618613392115,0.005358648020774126,2300,False
ablation_full_s45,9,0.04603093862533569,0.044423654675483704,0.04373978078365326,0.007536586374044418,0.005948053207248449,2300,False
ablation_full_s45,10,0.04841863363981247,0.04693780466914177,0.04614844545722008,0.008405540138483047,0.006491753738373518,2300,False
