run,ann_return,ann_vol,target_vol,vol_target_error,sharpe,max_drawdown,mean_leverage,leverage_turnover,n_days
dramt_lam1_2,0.019407353171420838,0.09996364871650885,0.1,3.635128349115113e-05,0.19414410558841216,-0.1934996499535671,0.3804633424017674,0.019999086177030053,460
ablation_point_only_s45,0.048656151745099054,0.10014188667566706,0.1,0.00014188667566705782,0.48587212963825405,-0.18103721123097433,0.376461217898558,0.0029878371167157396,460
baseline_har_rv,0.07607047912585901,0.09842557478483585,0.1,0.0015744252151641547,0.7728731002298295,-0.16189840492429236,0.44157696621447756,0.019082587327773674,460
dramt_t,0.062202691635964216,0.09816184180065589,0.1,0.001838158199344117,0.6336748628075212,-0.15931843366110837,0.4083391541711204,0.021987220474507532,460
ablation_numerical_only_s43,0.01679433856147216,0.09787140956048561,0.1,0.0021285904395143967,0.17159596083157536,-0.204621012044776,0.32481468425220533,0.011350206133837611,460
ablation_perm_sentiment_s43,0.038741148351482194,0.097861715989803,0.1,0.002138284010197,0.3958764462654522,-0.1948132564465572,0.36931578175585383,0.023864816703682193,460
dramt_t_garch,0.0686535544876524,0.09691762824176801,0.1,0.0030823717582319915,0.7083701462069537,-0.1691830673581639,0.4284149972970961,0.024275388149462274,460
ablation_no_macro_s44,0.02663665001254901,0.09656391854467711,0.1,0.003436081455322898,0.27584475044087053,-0.19830617628405073,0.3826706723179097,0.018423104875112964,460
ablation_point_only_s44,0.048772958642039385,0.09596467949289855,0.1,0.004035320507101453,0.5082386446739356,-0.1659113639426964,0.3629429084374398,0.0036968316770987163,460
dramt_garch,0.06668753938277008,0.09511445886204957,0.1,0.004885541137950436,0.7011293569938843,-0.16567794682700698,0.4192050148333808,0.0236715510406101,460
dramt_riskonly,0.05324306315547024,0.10489208038851724,0.1,0.004892080388517239,0.5075985046560185,-0.18768740490494684,0.44233145916171884,0.019671916849364694,460
dramt_gate_ext,0.053519422885391424,0.10492938390876388,0.1,0.004929383908763879,0.5100518166763142,-0.20216480556946811,0.44203008279962697,0.037397365255007455,460
dramt_lam1_5,0.039740696586441526,0.09497297326393199,0.1,0.005027026736068016,0.4184421653937405,-0.1783729913616397,0.3806087569374188,0.025214635702787345,460
ablation_perm_sentiment_s42,0.03470185966197007,0.0947874398724578,0.1,0.005212560127542204,0.36610187709113684,-0.16610812993751836,0.3775033638198175,0.02113187741510462,460
ablation_point_only_s46,0.05398679560410418,0.09151443394013589,0.1,0.008485566059864114,0.5899265643649133,-0.1684020296370347,0.34847875821227114,0.005094425260359437,460
baseline_dcc_garch,0.06939232875710549,0.09131321069473537,0.1,0.008686789305264633,0.7599374529616258,-0.14808199863828497,0.4113246388674118,0.022750284136578376,460
ablation_point_only_s43,0.04530265814468139,0.08989311037330364,0.1,0.01010688962669637,0.5039614043451246,-0.15660094081662113,0.34351184640643967,0.0034348862298237914,460
ablation_no_macro_s42,0.035707051671953066,0.08931914492003375,0.1,0.010680855079966259,0.39976929586508153,-0.15601043083261767,0.3482020090537623,0.02068596083936595,460
ablation_no_sentiment_s42,0.06313136406651254,0.08917863576108555,0.1,0.010821364238914458,0.7079202717974395,-0.15258946063310314,0.349958951417803,0.018460528983248573,460
ablation_perm_sentiment_s44,0.053910408488330064,0.08917091100864666,0.1,0.010829088991353347,0.6045739342407584,-0.15467679958521466,0.352568009269856,0.020455319771269253,460
dramt_gate_ext_time,0.034891284622070674,0.08902984374119137,0.1,0.010970156258808636,0.39190549096659316,-0.1825573308268417,0.38007146302156736,0.02186253326206155,460
ablation_static_fusion_s44,0.0373144824461234,0.08814907661551881,0.1,0.011850923384481196,0.42331109841205206,-0.14792580788063225,0.34495152154531356,0.008469795968047825,460
dramt_gpu,0.047661140329801226,0.08772284342526769,0.1,0.012277156574732315,0.5433150416562182,-0.1539729218290895,0.3453688637831707,0.01953949586150035,460
dramt_gate_time,0.0073621747742644355,0.08729676993707264,0.1,0.012703230062927368,0.08433501926327189,-0.17800714735901707,0.3486625860944036,0.024394488990082404,460
ablation_numerical_only_s42,0.0316429297178096,0.08662868902572543,0.1,0.013371310974274575,0.36527079047003524,-0.14927856957306632,0.3259935375929562,0.003091225050206587,460
ablation_static_fusion_s45,-0.004577882986763681,0.0860183747159267,0.1,0.013981625284073304,-0.05321982659963075,-0.16779595660563035,0.3256021390570603,0.0105951566995596,460
ablation_perm_macro_s42,0.032826874466579406,0.08599042085840267,0.1,0.01400957914159734,0.381750364039202,-0.1448663554316646,0.33109654880419714,0.014864341689292486,460
ablation_static_fusion_s42,0.0217308876622707,0.08563117992623187,0.1,0.014368820073768135,0.2537730728572357,-0.15191765548547365,0.3261081733727544,0.00894174123310521,460
